,id,name,cluster,host_id,host,host_alias,alias_id,listing_url,host_url,minimum_minimum_nights,license,ISD_status,ISD_address,neighborhood_overview,description,last_scraped
1916,44235871,A place of your own | Studio in Boston,1-2,CorpGroup1,PCHNortheast,PCHNortheast,359229620.0,https://www.airbnb.com/rooms/44235871,https://www.airbnb.com/users/show/359229620,91.0,Missing,?,,,"Stay for 30+ nights (minimum nights and rates are FIRM) where you’ll have the entire apartment all to yourself at The Eddy. The apartment has beautiful finishes and comes fully outfitted with kitchen, bedroom, & bathroom essentials. This spot is ideal for anyone looking for a place they can truly live temporarily. We take your experience personally and can’t wait to host you in your home away from home.<br /><br /><b>The space</b><br />We take the health and safety of guests seriously. Between each stay, the apartment is thoroughly cleaned and sanitized following guidance from the CDC. Cleaners wear protective garments (e.g., mask, gloves) and wipe surfaces, cabinet handles, door knobs, etc with cleaning solutions that follow CDC guidance. All linens, dishware, glassware and silverware are also washed between stays. Cleaning products and tools are provided so you can clean and sanitize as well.<br /><br />You’ll be staying in your own elegant, fully-furnished apartment including WiFi, ",2020-09-01
1917,44235874,A place of your own | Studio in Boston,1-2,CorpGroup1,PCHNortheast,PCHNortheast,359229620.0,https://www.airbnb.com/rooms/44235874,https://www.airbnb.com/users/show/359229620,91.0,Missing,?,,,"Stay for 30+ nights (minimum nights and rates are FIRM) where you’ll have the entire apartment all to yourself at The Eddy. The apartment has beautiful finishes and comes fully outfitted with kitchen, bedroom, & bathroom essentials. This spot is ideal for anyone looking for a place they can truly live temporarily. We take your experience personally and can’t wait to host you in your home away from home.<br /><br /><b>The space</b><br />We take the health and safety of guests seriously. Between each stay, the apartment is thoroughly cleaned and sanitized following guidance from the CDC. Cleaners wear protective garments (e.g., mask, gloves) and wipe surfaces, cabinet handles, door knobs, etc with cleaning solutions that follow CDC guidance. All linens, dishware, glassware and silverware are also washed between stays. Cleaning products and tools are provided so you can clean and sanitize as well.<br /><br />You’ll be staying in your own elegant, fully-furnished apartment including WiFi, ",2020-09-01
1918,44235875,A place of your own | 1BR in Boston,1-2,CorpGroup1,PCHNortheast,PCHNortheast,359229620.0,https://www.airbnb.com/rooms/44235875,https://www.airbnb.com/users/show/359229620,91.0,Missing,?,,,"Stay for 30+ nights (minimum nights and rates are FIRM) where you’ll have the entire apartment all to yourself at The Eddy. The apartment has beautiful finishes and comes fully outfitted with kitchen, bedroom, & bathroom essentials. This spot is ideal for anyone looking for a place they can truly live temporarily. We take your experience personally and can’t wait to host you in your home away from home.<br /><br /><b>The space</b><br />We take the health and safety of guests seriously. Between each stay, the apartment is thoroughly cleaned and sanitized following guidance from the CDC. Cleaners wear protective garments (e.g., mask, gloves) and wipe surfaces, cabinet handles, door knobs, etc with cleaning solutions that follow CDC guidance. All linens, dishware, glassware and silverware are also washed between stays. Cleaning products and tools are provided so you can clean and sanitize as well.<br /><br />You’ll be staying in your own elegant, fully-furnished apartment including WiFi, ",2020-09-01
1919,44235879,A place of your own | 2BR in Boston,1-2,CorpGroup1,PCHNortheast,PCHNortheast,359229620.0,https://www.airbnb.com/rooms/44235879,https://www.airbnb.com/users/show/359229620,91.0,Missing,?,,,"Stay for 30+ nights (minimum nights and rates are FIRM) where you’ll have the entire apartment all to yourself at The Eddy. The apartment has beautiful finishes and comes fully outfitted with kitchen, bedroom, & bathroom essentials. This spot is ideal for anyone looking for a place they can truly live temporarily. We take your experience personally and can’t wait to host you in your home away from home.<br /><br /><b>The space</b><br />We take the health and safety of guests seriously. Between each stay, the apartment is thoroughly cleaned and sanitized following guidance from the CDC. Cleaners wear protective garments (e.g., mask, gloves) and wipe surfaces, cabinet handles, door knobs, etc with cleaning solutions that follow CDC guidance. All linens, dishware, glassware and silverware are also washed between stays. Cleaning products and tools are provided so you can clean and sanitize as well.<br /><br />You’ll be staying in your own elegant, fully-furnished apartment including WiFi, ",2020-09-01
1920,44235880,A place of your own | Studio in Boston,1-2,CorpGroup1,PCHNortheast,PCHNortheast,359229620.0,https://www.airbnb.com/rooms/44235880,https://www.airbnb.com/users/show/359229620,91.0,Missing,?,,,"Stay for 30+ nights (minimum nights and rates are FIRM) where you’ll have the entire apartment all to yourself at The Eddy. The apartment has beautiful finishes and comes fully outfitted with kitchen, bedroom, & bathroom essentials. This spot is ideal for anyone looking for a place they can truly live temporarily. We take your experience personally and can’t wait to host you in your home away from home.<br /><br /><b>The space</b><br />We take the health and safety of guests seriously. Between each stay, the apartment is thoroughly cleaned and sanitized following guidance from the CDC. Cleaners wear protective garments (e.g., mask, gloves) and wipe surfaces, cabinet handles, door knobs, etc with cleaning solutions that follow CDC guidance. All linens, dishware, glassware and silverware are also washed between stays. Cleaning products and tools are provided so you can clean and sanitize as well.<br /><br />You’ll be staying in your own elegant, fully-furnished apartment including WiFi, ",2020-09-01
1921,44235882,A place of your own | 1BR in Boston,1-2,CorpGroup1,PCHNortheast,PCHNortheast,359229620.0,https://www.airbnb.com/rooms/44235882,https://www.airbnb.com/users/show/359229620,91.0,Missing,?,,,"Stay for 30+ nights (minimum nights and rates are FIRM) where you’ll have the entire apartment all to yourself at The Eddy. The apartment has beautiful finishes and comes fully outfitted with kitchen, bedroom, & bathroom essentials. This spot is ideal for anyone looking for a place they can truly live temporarily. We take your experience personally and can’t wait to host you in your home away from home.<br /><br /><b>The space</b><br />We take the health and safety of guests seriously. Between each stay, the apartment is thoroughly cleaned and sanitized following guidance from the CDC. Cleaners wear protective garments (e.g., mask, gloves) and wipe surfaces, cabinet handles, door knobs, etc with cleaning solutions that follow CDC guidance. All linens, dishware, glassware and silverware are also washed between stays. Cleaning products and tools are provided so you can clean and sanitize as well.<br /><br />You’ll be staying in your own elegant, fully-furnished apartment including WiFi, ",2020-09-01
1922,44235885,A place of your own | 1BR in Boston,1-2,CorpGroup1,PCHNortheast,PCHNortheast,359229620.0,https://www.airbnb.com/rooms/44235885,https://www.airbnb.com/users/show/359229620,91.0,Missing,?,,,"Stay for 30+ nights (minimum nights and rates are FIRM) where you’ll have the entire apartment all to yourself at The Eddy. The apartment has beautiful finishes and comes fully outfitted with kitchen, bedroom, & bathroom essentials. This spot is ideal for anyone looking for a place they can truly live temporarily. We take your experience personally and can’t wait to host you in your home away from home.<br /><br /><b>The space</b><br />We take the health and safety of guests seriously. Between each stay, the apartment is thoroughly cleaned and sanitized following guidance from the CDC. Cleaners wear protective garments (e.g., mask, gloves) and wipe surfaces, cabinet handles, door knobs, etc with cleaning solutions that follow CDC guidance. All linens, dishware, glassware and silverware are also washed between stays. Cleaning products and tools are provided so you can clean and sanitize as well.<br /><br />You’ll be staying in your own elegant, fully-furnished apartment including WiFi, ",2020-09-01
1961,44616947,A place of your own | 1BR in Boston,1-2,CorpGroup1,PCHNortheast,PCHNortheast,359229620.0,https://www.airbnb.com/rooms/44616947,https://www.airbnb.com/users/show/359229620,91.0,Missing,?,,"The Eddy is located along the waterfront in East Boston, boasting unrivaled views of the Boston skyline and within walking distance to an eclectic mix of restaurants, shops and entertainment. The Eddy is transit-oriented and serves as a bridge between Boston's most vibrant neighborhoods.","Stay for 30+ nights (minimum nights and rates are FIRM) where you’ll have the entire apartment all to yourself at The Eddy. The apartment has beautiful finishes and comes fully outfitted with kitchen, bedroom, & bathroom essentials. This spot is ideal for anyone looking for a place they can truly live temporarily. We take your experience personally and can’t wait to host you in your home away from home.<br /><br /><b>The space</b><br />We take the health and safety of guests seriously. Between each stay, the apartment is thoroughly cleaned and sanitized following guidance from the CDC. Cleaners wear protective garments (e.g., mask, gloves) and wipe surfaces, cabinet handles, door knobs, etc with cleaning solutions that follow CDC guidance. All linens, dishware, glassware and silverware are also washed between stays. Cleaning products and tools are provided so you can clean and sanitize as well.<br /><br />You’ll be staying in your own elegant, fully-furnished apartment including WiFi, ",2020-09-01
1962,44616950,A place of your own | Studio in Boston,1-2,CorpGroup1,PCHNortheast,PCHNortheast,359229620.0,https://www.airbnb.com/rooms/44616950,https://www.airbnb.com/users/show/359229620,91.0,Missing,?,,"The Eddy is located along the waterfront in East Boston, boasting unrivaled views of the Boston skyline and within walking distance to an eclectic mix of restaurants, shops and entertainment. The Eddy is transit-oriented and serves as a bridge between Boston's most vibrant neighborhoods.","Stay for 30+ nights (minimum nights and rates are FIRM) where you’ll have the entire apartment all to yourself at The Eddy. The apartment has beautiful finishes and comes fully outfitted with kitchen, bedroom, & bathroom essentials. This spot is ideal for anyone looking for a place they can truly live temporarily. We take your experience personally and can’t wait to host you in your home away from home.<br /><br /><b>The space</b><br />We take the health and safety of guests seriously. Between each stay, the apartment is thoroughly cleaned and sanitized following guidance from the CDC. Cleaners wear protective garments (e.g., mask, gloves) and wipe surfaces, cabinet handles, door knobs, etc with cleaning solutions that follow CDC guidance. All linens, dishware, glassware and silverware are also washed between stays. Cleaning products and tools are provided so you can clean and sanitize as well.<br /><br />You’ll be staying in your own elegant, fully-furnished apartment including WiFi, ",2020-08-31
1963,44616954,A place of your own | 1BR in Boston,1-2,CorpGroup1,PCHNortheast,PCHNortheast,359229620.0,https://www.airbnb.com/rooms/44616954,https://www.airbnb.com/users/show/359229620,91.0,Missing,?,,"The Eddy is located along the waterfront in East Boston, boasting unrivaled views of the Boston skyline and within walking distance to an eclectic mix of restaurants, shops and entertainment. The Eddy is transit-oriented and serves as a bridge between Boston's most vibrant neighborhoods.","Stay for 30+ nights (minimum nights and rates are FIRM) where you’ll have the entire apartment all to yourself at The Eddy. The apartment has beautiful finishes and comes fully outfitted with kitchen, bedroom, & bathroom essentials. This spot is ideal for anyone looking for a place they can truly live temporarily. We take your experience personally and can’t wait to host you in your home away from home.<br /><br /><b>The space</b><br />We take the health and safety of guests seriously. Between each stay, the apartment is thoroughly cleaned and sanitized following guidance from the CDC. Cleaners wear protective garments (e.g., mask, gloves) and wipe surfaces, cabinet handles, door knobs, etc with cleaning solutions that follow CDC guidance. All linens, dishware, glassware and silverware are also washed between stays. Cleaning products and tools are provided so you can clean and sanitize as well.<br /><br />You’ll be staying in your own elegant, fully-furnished apartment including WiFi, ",2020-09-01
