,id,name,cluster,host_id,host,host_alias,alias_id,listing_url,host_url,minimum_minimum_nights,license,ISD_status,ISD_address,neighborhood_overview,description,last_scraped
93,4500409,"Stylish Studio in Back Bay, on Newbury St, .#1",196-2,CorpGroup7,Maverick Empire,Maverick,22348222.0,https://www.airbnb.com/rooms/4500409,https://www.airbnb.com/users/show/22348222,1.0,415635,Inactive,26 Brooks ST 22 1 Brighton MA 02135,"Located in Boston’s award winning Back Bay district. Just steps from public transportation and trendy restaurants, shops, hair salons, upscale retail shopping financial and entertainment amenities Boston has to offer.","Our comfortable studio is centrally located on Boston's most Chic and Lively street. Newbury Street! Step outside our newly renovated Brownstone into the heart of the Back Bay. Take-in and explore our beautiful city by touring dozens of historic landmarks minutes from our studio,  indulge at one of our award winning neighboring restaurants , spoil yourself on Boston's most premier shopping destinations. There's something for everyone.  Let us host you and make your trip to Boston unforgettable.<br /><br /><b>The space</b><br />This unit is located on the 2nd floor.  Our professional managed apartment is great for those in town on business, pleasure or if you are teaching at one of the great schools in Boston. Our Newbury Street apartment rentals offers free 42′ Plasma TV, WiFi, utilities, Flatware, Silverware and Cooking Utensils, towels, linens and convenient access to downtown Boston.  <br /><br />Studio Features:<br />42″ Plasma TV with Direct Satellite<br />Kitchenettes with Blue L",2020-08-31
140,6759004,Stylish & Comfortable Newbury St Studio .#10,196-2,CorpGroup7,Maverick Empire,Maverick,22348222.0,https://www.airbnb.com/rooms/6759004,https://www.airbnb.com/users/show/22348222,1.0,415644,?,,"Located in Boston’s award winning Back Bay district. Just steps from public transportation and trendy restaurants, shops, hair salons, upscale retail shopping financial and entertainment amenities Boston has to offer.","If you’re looking to experience quintessential Boston, look no further. Located in the heart of the city, Newbury Street is a mile long stretch of 19th-centry brownstones that are homes to hundreds of shops and restaurants. Newbury Street is one of the most sought-out destinations for tourists and locals alike, and is steps from the Boston Public Library, Prudential Center, Public Garden and the Hynes Convention Center.<br /><br /><b>The space</b><br />This unit is located on the 4th floor.  Our professional managed apartment is great for those in town on business, pleasure or if you are teaching at one of the great schools in Boston. Our Newbury Street apartment rentals offers free 42′ Plasma TV, WiFi, utilities, Flatware, Silverware and Cooking Utensils, towels, linens and convenient access to downtown Boston.  <br /><br />Studio Features:<br />42″ Plasma TV with Direct Satellite<br />Kitchenettes with Blue Lacquer Cabinets<br />All Stainless Appliances<br />Italian Carrara Marble Co",2020-08-31
152,6879036,Stylish Studio on Newbury St #3,196-2,CorpGroup7,Maverick Empire,Maverick,22348222.0,https://www.airbnb.com/rooms/6879036,https://www.airbnb.com/users/show/22348222,1.0,415637,Void,74 W Rutland SQ 04 2 Roxbury MA 02118,"Located in Boston’s award winning Back Bay district. Just steps from public transportation and trendy restaurants, shops, hair salons, upscale retail shopping financial and entertainment amenities Boston has to offer.","Our comfortable studio is centrally located on Boston's most Chic and Lively street. Newbury Street! Step outside our newly renovated Brownstone into the heart of the Back Bay. Take-in and explore our beautiful city by touring dozens of historic landmarks minutes from our studio,  indulge at one of our award winning neighboring restaurants , spoil yourself on Boston's most premier shopping destinations. There's something for everyone.  Let us host you and make your trip to Boston unforgettable.<br /><br /><b>The space</b><br />This unit is located on the 2nd floor.   Our professional managed apartments are great for those in town on business, pleasure or if you are teaching at one of the great schools in Boston. Our Newbury Street apartment rentals offers free 42′ Plasma TV, WiFi, utilities, Flatware, Silverware and Cooking Utensils, towels, linens and convenient access to downtown Boston.  <br /><br />Studio Features:<br />42″ Plasma TV with Direct Satellite<br />Kitchenettes with Blu",2020-08-31
153,6882615,"City Living with a View, Newbury St...#4",196-2,CorpGroup7,Maverick Empire,Maverick,22348222.0,https://www.airbnb.com/rooms/6882615,https://www.airbnb.com/users/show/22348222,1.0,415638,?,,"From high-end boutiques to coffee shops, and everything in between, Newbury street is the go-to shopping and entertainment district in the city. On the public garden side of Newbury Street, you’ll find high-end boutiques and hair salon, while the Mass Ave side of Newbury Street is home to a plethora of restaurants, and big-name stores (think Forever 21, TJMaxx). Planning on taking public transportation to your destinations? Don’t worry, Newbury Street runs with the Green Line, with train stops lining the street (Arlington, Copley, and Hynes Convention Center).","Experience a bird’s eye view out the window of our charming second floor studio to one of Boston’s most sought-out destinations for tourists and locals. Located in the heart of the city, Newbury Street is a mile long stretch of 19th-century brownstones that are homes to hundreds of shops and restaurants. Experience all that Newbury Street has to offer from above with a city view that is unbeatable.<br /><br /><b>The space</b><br />This unit is located on the 2nd floor.  Our professional managed apartments are great for those in town on business, pleasure or if you are teaching at one of the great schools in Boston. Our Newbury Street apartment rentals offers free 42′ Plasma TV, WiFi, utilities, Flatware, Silverware and Cooking Utensils, towels, linens and convenient access to downtown Boston.  <br /><br />Studio Features:<br />42″ Plasma TV with Direct Satellite<br />Kitchenettes with Blue Lacquer Cabinets<br />All Stainless Appliances<br />Italian Carrara Marble Counters<br />European",2020-08-31
154,6908525,"Stylish Studio on Newbury St, THIS IS BOSTON! .#12",196-2,CorpGroup7,Maverick Empire,Maverick,22348222.0,https://www.airbnb.com/rooms/6908525,https://www.airbnb.com/users/show/22348222,1.0,415646,?,,"Located in Boston’s award winning Back Bay district. Just steps from public transportation and trendy restaurants, shops, hair salons, upscale retail shopping financial and entertainment amenities Boston has to offer.","Our comfortable studio is centrally located on Boston's most Chic and Lively street. Newbury Street! Step outside our newly renovated Brownstone into the heart of the Back Bay. Take-in and explore our beautiful city by touring dozens of historic landmarks minutes from our studio,  indulge at one of our award winning neighboring restaurants , spoil yourself on Boston's most premier shopping destinations. There's something for everyone.  Let us host you and make your trip to Boston unforgettable.<br /><br /><b>The space</b><br />This unit is located on the 4th floor.  Our professional managed apartments are great for those in town on business, pleasure or if you are teaching at one of the great schools in Boston. Our Newbury Street apartment rentals offers free 42′ Plasma TV, WiFi, utilities, Flatware, Silverware and Cooking Utensils, towels, linens and convenient access to downtown Boston.  <br /><br />Studio Features:<br />42″ Plasma TV with Direct Satellite<br />Kitchenettes with Blue",2020-08-31
164,7474044,Stylish & Comfortable Newbury St Studio .#5,196-2,CorpGroup7,Maverick Empire,Maverick,22348222.0,https://www.airbnb.com/rooms/7474044,https://www.airbnb.com/users/show/22348222,1.0,415639,Active,99 Fulton ST 03 6-3 Boston MA 02109,"Located in Boston’s award winning Back Bay district. Just steps from public transportation and trendy restaurants, shops, hair salons, upscale retail shopping financial and entertainment amenities Boston has to offer.","If you’re looking to experience quintessential Boston, look no further. Located in the heart of the city, Newbury Street is a mile long stretch of 19th-centry brownstones that are homes to hundreds of shops and restaurants. Newbury Street is one of the most sought-out destinations for tourists and locals alike, and is steps from the Boston Public Library, Prudential Center, Public Garden and the Hynes Convention Center.<br /><br /><b>The space</b><br />This unit is located on the 3rd floor.  Our professional managed apartments are great for those in town on business, pleasure or if you are teaching at one of the great schools in Boston. Our Newbury Street apartment rentals offers free 42′ Plasma TV, WiFi, utilities, Flatware, Silverware and Cooking Utensils, towels, linens and convenient access to downtown Boston.  <br /><br />Studio Features:<br />42″ Plasma TV with Direct Satellite<br />Kitchenettes with Blue Lacquer Cabinets<br />All Stainless Appliances<br />Italian Carrara Marble ",2020-08-31
165,7474855,Stylish & Comfortable Newbury St Studio .#11,196-2,CorpGroup7,Maverick Empire,Maverick,22348222.0,https://www.airbnb.com/rooms/7474855,https://www.airbnb.com/users/show/22348222,1.0,415645,Inactive,74 Georgia ST 12 2 Dorchester MA 02121,"From high-end boutiques to coffee shops, and everything in between, Newbury street is the go-to shopping and entertainment district in the city. On the public garden side of Newbury Street, you’ll find high-end boutiques and hair salon, while the Mass Ave side of Newbury Street is home to a plethora of restaurants, and big-name stores (think Forever 21, TJMaxx). Planning on taking public transportation to your destinations? Don’t worry, Newbury Street runs with the Green Line, with train stops lining the street (Arlington, Copley, and Hynes Convention Center).","If you’re looking to experience quintessential Boston, look no further. Located in the heart of the city, Newbury Street is a mile long stretch of 19th-centry brownstones that are homes to hundreds of shops and restaurants. Newbury Street is one of the most sought-out destinations for tourists and locals alike, and is steps from the Boston Public Library, Prudential Center, Public Garden and the Hynes Convention Center.<br /><br /><b>The space</b><br />This unit is located on the 4th floor.  Our professional managed apartments are great for those in town on business, pleasure or if you are teaching at one of the great schools in Boston. Our Newbury Street apartment rentals offers free 42′ Plasma TV, WiFi, utilities, Flatware, Silverware and Cooking Utensils, towels, linens and convenient access to downtown Boston.  <br /><br />Studio Features:<br />42″ Plasma TV with Direct Satellite<br />Kitchenettes with Blue Lacquer Cabinets<br />All Stainless Appliances<br />Italian Carrara Marble ",2020-08-31
166,7475052,"Comfortable Studio in Back Bay, on Newbury St, .#7",196-2,CorpGroup7,Maverick Empire,Maverick,22348222.0,https://www.airbnb.com/rooms/7475052,https://www.airbnb.com/users/show/22348222,1.0,415641,?,,"Located in Boston’s award winning Back Bay district. Just steps from public transportation and trendy restaurants, shops, hair salons, upscale retail shopping financial and entertainment amenities Boston has to offer.","Our comfortable studio is centrally located on Boston's most Chic and Lively street. Newbury Street! Step outside our newly renovated Brownstone into the heart of the Back Bay. Take-in and explore our beautiful city by touring dozens of historic landmarks minutes from our studio,  indulge at one of our award winning neighboring restaurants , spoil yourself on Boston's most premier shopping destinations. There's something for everyone.  Let us host you and make your trip to Boston unforgettable.<br /><br /><b>The space</b><br />This unit is located on the 3rd floor.  Our professional managed apartments are great for those in town on business, pleasure or if you are teaching at one of the great schools in Boston. Our Newbury Street apartment rentals offers free 42′ Plasma TV, WiFi, utilities, Flatware, Silverware and Cooking Utensils, towels, linens and convenient access to downtown Boston.  <br /><br />Studio Features:<br />42″ Plasma TV with Direct Satellite<br />Kitchenettes with Blue",2020-08-31
167,7475215,Comfortable & Stylish Studio on Newbury St. #2,196-2,CorpGroup7,Maverick Empire,Maverick,22348222.0,https://www.airbnb.com/rooms/7475215,https://www.airbnb.com/users/show/22348222,1.0,415636,?,,"Located in Boston’s award winning Back Bay district. Just steps from public transportation and trendy restaurants, shops, hair salons, upscale retail shopping financial and entertainment amenities Boston has to offer.","Our comfortable studio is centrally located on Boston's most Chic and Lively street. Newbury Street! Step outside our newly renovated Brownstone into the heart of the Back Bay. Take-in and explore our beautiful city by touring dozens of historic landmarks minutes from our studio,  indulge at one of our award winning neighboring restaurants , spoil yourself on Boston's most premier shopping destinations. There's something for everyone.  Let us host you and make your trip to Boston unforgettable.<br /><br /><b>The space</b><br />This unit is located on the 2nd floor.   Our professional managed apartments are great for those in town on business, pleasure or if you are teaching at one of the great schools in Boston. Our Newbury Street apartment rentals offers free 42′ Plasma TV, WiFi, utilities, Flatware, Silverware and Cooking Utensils, towels, linens and convenient access to downtown Boston.  <br /><br />Studio Features:<br />42″ Plasma TV with Direct Satellite<br />Kitchenettes with Blu",2020-08-31
168,7475379,Stylish & Comfortable Newbury St Studio .#6,196-2,CorpGroup7,Maverick Empire,Maverick,22348222.0,https://www.airbnb.com/rooms/7475379,https://www.airbnb.com/users/show/22348222,1.0,415640,?,,"Located in Boston’s award winning Back Bay district. Just steps from public transportation and trendy restaurants, shops, hair salons, upscale retail shopping financial and entertainment amenities Boston has to offer.","If you’re looking to experience quintessential Boston, look no further. Located in the heart of the city, Newbury Street is a mile long stretch of 19th-centry brownstones that are homes to hundreds of shops and restaurants. Newbury Street is one of the most sought-out destinations for tourists and locals alike, and is steps from the Boston Public Library, Prudential Center, Public Garden and the Hynes Convention Center.<br /><br /><b>The space</b><br />This unit is located on the 3rd floor. Our professional managed apartments are great for those in town on business, pleasure or if you are teaching at one of the great schools in Boston. Our Newbury Street apartment rentals offers free 42′ Plasma TV, WiFi, utilities, Flatware, Silverware and Cooking Utensils, towels, linens and convenient access to downtown Boston.  <br /><br />Studio Features:<br />42″ Plasma TV with Direct Satellite<br />Kitchenettes with Blue Lacquer Cabinets<br />All Stainless Appliances<br />Italian Carrara Marble C",2020-08-31
