id,name,cluster,host_id,host,host_alias,alias_id,listing_url,host_url,minimum_minimum_nights,license,ISD_status,ISD_address,neighborhood_overview,description,last_scraped
276450,19th Century Luxury | South End | 1BR 1BA #3,46-0,CorpGroup4,STR Boston,Thatch,814298.0,https://www.airbnb.com/rooms/276450,https://www.airbnb.com/users/show/814298,30.0,Missing,,,South End,"The South End has recently become the choice neighborhood for Boston's young families, working professionals and artists, among others, and its known best for its many parks, funky shops and its acclaimed cafes and restaurants. The nearby intersection of Tremont Street and Massachusetts Avenue offers great access to the entire City by foot or public transit. The building contains five furnished one bedroom apartments and one furnished studio apartment, each of which sleeps 2-4 comfortably. All furnished apartments are available for monthly rentals.<br /><br />This building was re-built from the bricks in at the end of 2011. The apartments all have central AC and heat and share 2 washers and dryers located in the basement and free for people to use. Each of the apartments has a queen bed in the bedroom and a queen sleeper sofa in the living room. Please see the individual apartment pages for a full list of amenities.<br /><br />This location offers easy access by foot to all that the So",2020-08-31
349347,Experience Past|Enjoy Present|South End 1BR 1BA #2,46-0,CorpGroup4,STR Boston,Thatch,814298.0,https://www.airbnb.com/rooms/349347,https://www.airbnb.com/users/show/814298,29.0,Missing,,,South End,"The South End has recently become the choice neighborhood for Boston's young families, working professionals and artists, among others, and its known best for its many parks, funky shops and its acclaimed cafes and restaurants. The nearby intersection of Tremont Street and Massachusetts Avenue offers great access to the entire City by foot or public transit. The building contains five furnished one bedroom apartments and one furnished studio apartment, each of which sleeps 2-4 comfortably. All furnished apartments are available for monthly rentals. <br /><br />This building was re-built from the bricks in at the end of 2011. The apartments all have central AC and heat and share 2 washers and dryers located in the basement and free for people to use. Each of the apartments has a queen bed in the bedroom and a queen sleeper sofa in the living room. Please see the individual apartment pages for a full list of amenities. <br /><br />This location offers easy access by foot to all that the ",2020-08-31
658029,Trendy Fun Spot|Historic South End | 1BR 1BA #1,46-0,CorpGroup4,STR Boston,Thatch,814298.0,https://www.airbnb.com/rooms/658029,https://www.airbnb.com/users/show/814298,30.0,Missing,,,South End,"The South End has recently become the choice neighborhood for Boston's young families, working professionals and artists, among others, and its known best for its many parks, funky shops and its acclaimed cafes and restaurants. The nearby intersection of Tremont Street and Massachusetts Avenue offers great access to the entire City by foot or public transit. The building contains five furnished one bedroom apartments and one furnished studio apartment, each of which sleeps 2-4 comfortably. All furnished apartments are available for monthly rentals.<br /><br />This building was re-built from the bricks in at the end of 2011. The apartments all have central AC and heat and share 2 washers and dryers located in the basement and free for people to use. Each of the apartments has a queen bed in the bedroom and a queen sleeper sofa in the living room. Please see the individual apartment pages for a full list of amenities.<br /><br />This location offers easy access by foot to all that the So",2020-08-31
2372987,Modern South End Pied a Terre | 1BR 1BA,46-0,CorpGroup4,STR Boston,Thatch,814298.0,https://www.airbnb.com/rooms/2372987,https://www.airbnb.com/users/show/814298,28.0,416007,Void,,South End,"The South End has recently become the choice neighborhood for Boston's young families, working professionals and artists, among others, and its known best for its many parks, funky shops and its acclaimed cafes and restaurants. Massachusetts Avenue offers great access to the entire City by foot or public transit. This building contains a furnished one bedroom and a three bedroom apartment, both of which are available as nightly, weekly and monthly rentals.<br /><br />This building was re-built from the bricks in at the end of 2013. All apartments have central AC and heat and contain in-unit laundry facilities. There are very few stairs required to access either of the two units. Please see the individual apartment pages for a full list of amenities.<br /><br />This location offers easy access by foot to all that the South End has to offer and the Back Bay. All other parts of Boston can be easily accessed via public transit or taxi. The nearest subway stop is 3 blocks away – the Mass Av",2020-08-31
5717690,City Views|19th Cent. Past on Tremont| 1BR 1BA #5,46-0,CorpGroup4,STR Boston,Thatch,814298.0,https://www.airbnb.com/rooms/5717690,https://www.airbnb.com/users/show/814298,30.0,STRLH/STRBB,,,South End,"The South End has recently become the choice neighborhood for Boston's young families, working professionals and artists, among others, and its known best for its many parks, funky shops and its acclaimed cafes and restaurants. The nearby intersection of Tremont Street and Massachusetts Avenue offers great access to the entire City by foot or public transit. The building contains five furnished one bedroom apartments and one furnished studio apartment, each of which sleeps 2-4 comfortably. All furnished apartments are available for monthly rentals.<br /><br />This building was re-built from the bricks in at the end of 2011. The apartments all have central AC and heat and share 2 washers and dryers located in the basement and free for people to use. Each of the apartments has a queen bed in the bedroom and a queen sleeper sofa in the living room. Please see the individual apartment pages for a full list of amenities.<br /><br />This location offers easy access by foot to all that the So",2020-08-31
6685682,Vintage Brownstone on Newbury|1 BR 1BA #3,46-0,CorpGroup4,STR Boston,Thatch,814298.0,https://www.airbnb.com/rooms/6685682,https://www.airbnb.com/users/show/814298,2.0,STRLH/STRBB,,,Back Bay,"Newbury Street is to Boston what Rodeo Drive is to Beverly Hills and Madison Avenue is to New York. In addition to hundreds of stores that line the street, there are a variety of both casual and fine dining and café options as well as spas and salons. This building consists of 6 furnished one bedroom apartments, 2 of which are premium apartments with upgraded finishes and furniture. All furnished apartment rentals are available as nightly, weekly or monthly rentals. <br /><br />This 3rd floor one bedroom suite is one of our two premier units. It features a full sized, open kitchen and living room that looks out onto a great view of the city and neighborhood. The high end finishes, architectural design and furniture really distinguish this unit from the other units in the Newbury building. This brand new unit has polished hardwood floors throughout the unit, central air, granite countertops and new stainless steel appliances. The bedroom features a queen mattress set, nightstand, readin",2020-08-31
13585624,Tree-lined Charlestown|Historic|2BR 1BA,46-0,CorpGroup4,STR Boston,Thatch,814298.0,https://www.airbnb.com/rooms/13585624,https://www.airbnb.com/users/show/814298,91.0,Missing,,,"Charlestown is truly a residential neighborhood with quiet, tree-lined streets and historic squares and monuments. Yet its residents enjoy convenient and easy access to many services within a short walk, as well as downtown Boston and Cambridge via public transit.","Charlestown is truly a residential neighborhood with quiet, tree-lined streets and historic squares and monuments. This furnished two bedroom apartment allows flowing access to a private outside patio area behind the building. It is an upside down house with the bedrooms on the first floor, the kitchen / living are down one flight of stairs.<br /><br /><b>The space</b><br />This furnished two bed, floor through unit, situated on a quiet, one way street allows flowing access to a private outside garden patio area behind the building. Both bedrooms are located on street level; each has a queen size bed with linens, pillows and blankets included. The garden-level kitchen is fully-equipped with appliances, including a dishwasher, full size refrigerator, as well as pots, pans and cooking utensils for those who prefer cooking at home. There is a 39” flat screen TV with local channels located in the cozy living room.<br /><br /><b>Guest access</b><br />Access is via code activated doors. Once",2020-08-31
15172518,Spacious | Cozy | Brownstone on Comm | 1BR 1 BA #1,46-0,CorpGroup4,STR Boston,Thatch,814298.0,https://www.airbnb.com/rooms/15172518,https://www.airbnb.com/users/show/814298,28.0,STRES,,,Back Bay,"This spacious 1 bedroom unit is characterized by classic Back Bay style and beautiful architectural detail. Among its features are polished hardwood floors, high ceilings and over-sized bay windows that let in great light in both the bedroom and living area. Nestled near the heart of Boston's Back Bay, this is the perfect space for short or long term stays and affords guests quick access to Kenmore/Fenway neighborhood and Cambridge. The unit features a queen sized bed, nightstand with alarm clock, in-bedroom sitting area and a full dresser with walk in closet. The sofa pulls out to a queen bed which makes this the perfect unit for two to four people. <br /><br /> ** Stays of 30 nights or longer get free access to Boston Sports Club gym/fitness center at no additional charge. We offer daily passes for stays shorter than 30 days. Inquire for more details **<br /><br />The kitchen is fully equipped with every essential food prep. tool as well as pots, pans, serving utensils, glasses and f",2020-09-01
15173160,Generous Brownstone on Commonwealth|3BR 1BA #3,46-0,CorpGroup4,STR Boston,Thatch,814298.0,https://www.airbnb.com/rooms/15173160,https://www.airbnb.com/users/show/814298,29.0,Missing,,,"The Back Bay is perhaps the most sought after neighborhood in all of Boston, both by residents and tourists alike. Access to cafes, restaurants, public transit, parks, the Charles River and our many schools and hospitals is very easy from this location. You can't go wrong here!","This spacious 3rd floor three bedroom unit is characterized by classic Back Bay style and beautiful architectural detail.  Nested near the heart of Boston's Back Bay, this is the perfect space for short or long term stays and affords guests quick access to Kenmore/Fenway neighborhood and Cambridge. Among its features are polished hardwood floors, high ceilings and over-sized bay windows that let in great light in both the master bedroom and living area.<br /><br /><b>The space</b><br />The bedrooms are fully carpeted and very comfortable, with each featuring a queen sized bed, nightstand with USB alarm clock, a full dresser and a large closet. The kitchen is fully equipped with every essential food prep. tool as well as pots, pans, serving utensils, glasses and flatware. Within the kitchen there is also a dishwasher, oven, range and refrigerator. The living space has a flat screen smart TV with cable and HDMI connectivity. This unit features standalone central AC and electric baseboard",2020-08-31
15173640,Calm & Cool|Historic Back Bay Studio Spot,46-0,CorpGroup4,STR Boston,Thatch,814298.0,https://www.airbnb.com/rooms/15173640,https://www.airbnb.com/users/show/814298,28.0,Missing,,,Back Bay,"This spacious front facing 4th Floor studio unit is characterized by classic Back Bay style and features polished hardwood floors, high ceilings and a beautiful bay window that let's in great light. This is the perfect space for short or long term stays and affords guests quick access to the Kenmore/Fenway neighborhood and Cambridge. The unit features a queen size bed, spacious living area with a full size desk, small dining table for two and a full dresser with a walk in closet. The sofa pulls out to a queen bed which makes this the perfect unit for two to four people. The kitchen is fully equipped with every essential food prep. tool as well as pots, pans, serving utensils, glasses and flatware. Within the kitchen there is also a dishwasher, oven, range and refrigerator. The living space has a flat screen smart TV with local channels and HDMI connectivity. This unit features standalone central AC and electric baseboard heating. All rental units are equipped with wireless internet, ir",2020-08-31
