id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,cluster,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
32831946,https://www.airbnb.com/rooms/32831946,Welcoming Private Studio for One!  5-44,CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,2020-08-31,,42.34892,-71.07036,Private room in loft,Private room,1,1.0,1.0,107.0,2,500,2.0,t,0,0,15,168,17,101724,f,Bay Village,244600805.0,Not found (fabricated),Not found (fabricated),,Home Share Unit,11.0,,Not found (fabricated),Not found (fabricated),,0.0,6-2,121.81260171371478,6-2-0,43.532862298257285,#E64A19,True
32861021,https://www.airbnb.com/rooms/32861021,Prices/Location CANNOT Be Beat! 5-B1,CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,2020-08-31,,42.34873,-71.07066999999998,Entire apartment,Entire home/apt,2,,1.0,126.0,2,500,2.0,t,7,7,37,187,46,101724,f,Bay Village,244600805.0,Not found (fabricated),Not found (fabricated),,Home Share Unit,11.0,,Not found (fabricated),Not found (fabricated),,0.0,6-2,228.64424320679524,,,#E64A19,True
32861080,https://www.airbnb.com/rooms/32861080,Private Studio in Boston's Bay Village! 5-22,CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,2020-08-31,,42.34943,-71.07047,Entire apartment,Entire home/apt,2,1.0,1.0,130.0,2,500,2.0,t,0,0,0,151,43,101724,f,Bay Village,244600805.0,Not found (fabricated),Not found (fabricated),,Home Share Unit,11.0,,Not found (fabricated),Not found (fabricated),,0.0,6-2,194.33212518302082,6-2-1,18.210037762605022,#E64A19,True
34149470,https://www.airbnb.com/rooms/34149470,Safe/Clean Studio With Flexible Cancellations! 3-31,CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,2020-08-31,,42.34906,-71.07042,Private room in loft,Private room,1,1.0,1.0,107.0,2,500,2.0,t,0,29,31,31,14,101772,f,Bay Village,244600805.0,Not found (fabricated),Not found (fabricated),,Limited Share Unit,8.0,,Not found (fabricated),Not found (fabricated),,0.0,6-2,126.6994878734631,6-2-0,40.242048030801115,#E64A19,True
34149473,https://www.airbnb.com/rooms/34149473,Welcoming Private Studio for One!  5-3,CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,2020-08-31,,42.34872,-71.07085,Private room in loft,Private room,1,1.0,1.0,107.0,2,500,2.0,t,0,0,0,149,7,101724,f,Bay Village,244600805.0,Not found (fabricated),Not found (fabricated),,Home Share Unit,11.0,,Not found (fabricated),Not found (fabricated),,0.0,6-2,272.84646964839567,,,#E64A19,True
34149872,https://www.airbnb.com/rooms/34149872,Stylish Private Studio in Boston! 3-33,CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,,Bay Village,2020-08-31,,42.34877,-71.07016999999998,Entire apartment,Entire home/apt,2,1.0,1.0,130.0,2,21,2.0,t,29,59,89,364,48,101772,f,Bay Village,244600805.0,Not found (fabricated),Not found (fabricated),,Limited Share Unit,8.0,,Not found (fabricated),Not found (fabricated),,0.0,6-2,121.34795423468832,6-2-0,116.51218772756201,#E64A19,True
36036045,https://www.airbnb.com/rooms/36036045,Modern Efficiency Studio Awaits Your Stay! 1-2,CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,2020-08-31,,42.34929,-71.07058,Private room in apartment,Private room,2,,1.0,125.0,2,500,2.0,t,3,25,55,208,32,101723,f,Bay Village,244600805.0,Not found (fabricated),Not found (fabricated),,Limited Share Unit,20.0,,Not found (fabricated),Not found (fabricated),,0.0,6-2,189.3705958032537,6-2-1,55.94445947090596,#E64A19,True
36036969,https://www.airbnb.com/rooms/36036969,Safe/Clean Studio With Flexible Cancellations! 3-41,CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,2020-08-31,,42.34898,-71.07078,Private room in apartment,Private room,1,1.0,1.0,107.0,2,500,2.0,t,29,59,89,242,17,101772,f,Bay Village,244600805.0,Not found (fabricated),Not found (fabricated),,Limited Share Unit,8.0,,Not found (fabricated),Not found (fabricated),,0.0,6-2,225.9444474247805,6-2-0,74.09247779205509,#E64A19,True
36037475,https://www.airbnb.com/rooms/36037475,"Great Value For Your Boston Stay, Sleeps 3! 3-32",CorpGroup6,https://www.airbnb.com/users/show/244600805,Bay Village,"Boston, Massachusetts, United States",Bay Village,2020-08-31,,42.34909,-71.06923,Private room in apartment,Private room,3,1.0,1.0,147.0,2,500,2.0,t,0,0,0,0,31,101772,f,Bay Village,244600805.0,Not found (fabricated),Not found (fabricated),,Limited Share Unit,8.0,,Not found (fabricated),Not found (fabricated),,0.0,6-2,195.28324768578412,,,#E64A19,True
37744884,https://www.airbnb.com/rooms/37744884,Safe/Clean Studio With Flexible Cancellations! 3-21,CorpGroup6,https://www.airbnb.com/users/show/285344759,Bay Village,"Boston, Massachusetts, United States",Bay Village,2020-08-31,,42.34868,-71.07092,Private room in apartment,Private room,1,1.0,1.0,112.14,2,500,2.0,t,0,0,3,156,15,101772,f,Bv,285344759.0,Not found (fabricated),Not found (fabricated),,Limited Share Unit,8.0,,Not found (fabricated),Not found (fabricated),,0.0,6-2,296.36322485106547,,,#E64A19,True
