,id,name,cluster,host_id,host,host_alias,alias_id,listing_url,host_url,minimum_minimum_nights,license,ISD_status,ISD_address,neighborhood_overview,description,last_scraped
847,27734523,Boston Room (3-1),16-1,CorpGroup28,Belkis,Belkis,209395207.0,https://www.airbnb.com/rooms/27734523,https://www.airbnb.com/users/show/209395207,29.0,Missing,?,,"Steps away from Egelston square, A diverse, residential neighborhood with convenience stores,  cultural restaurants, food shops, a community playground, community basketball court, and a big open field to relax and walk around. (everything is 5 minutes walking distance away). Enjoy a tour to the Sam Adams Brewery down the street as well.","Cozy 1 bed room on the 3rd floor in a shared apartment in Boston. Guests will be sharing common areas with other tenants on a month to month lease (not on air bnb) Cleaning will be done occasionally but we can not control how frequent other tenants clean up their own mess in common areas.<br /><br /><b>Guest access</b><br />Enjoy access to a fully equipped kitchen to make meals, and or lounging. Back yard or back porch for relaxing, laundry room in the basement.",2020-09-01
849,27854109,Boston private room (1-5),16-1,CorpGroup28,Belkis,Belkis,209395207.0,https://www.airbnb.com/rooms/27854109,https://www.airbnb.com/users/show/209395207,29.0,Missing,?,,"Steps away from Egelston square, A diverse, residential neighborhood with convenience stores,  cultural restaurants, food shops, a community playground, community basketball court, and a big open field to relax and walk around. (everything is 5 minutes walking distance away). Enjoy a tour to the Sam Adams Brewery down the street as well.","Cozy 1 bed room in a shared apartment in Boston. Guests will be sharing common areas with other tenants on a month to month lease (not on air bnb) Cleaning will be done occasionally but we can not control how frequent other tenants clean up their own mess in common areas.<br /><br /><b>Guest access</b><br />Enjoy access to a fully equipped kitchen to make meals, and or lounging. Back yard or back porch for relaxing, laundry room in the basement.",2020-09-01
853,27920247,Boston Private room (1-3),16-1,CorpGroup28,Belkis,Belkis,209395207.0,https://www.airbnb.com/rooms/27920247,https://www.airbnb.com/users/show/209395207,29.0,Missing,?,,"5 minute walk away from the closest train station that has routes all over Boston. This warm neighborhood is in close proximity to many activities to do here while you stay in Boston. You can visit a Sam Adams Brewery just 5 minute walk from the property, or visit local cultural restaurants.","Cozy private bedrooms located right in the City of Boston. 5 minute walk away from the closest train station that has routes all over Boston. This warm neighborhood is in close proximity to many activities to do here while you stay in Boston. The apartment has private rooms with locks only you have access to, shared kitchen, shared bathroom, and shared WIFI.<br /><br /><b>Guest access</b><br />shared Kitchen<br />shared bath<br />shared wifi",2020-09-01
854,27920433,Boston Private Room (1-1),16-1,CorpGroup28,Belkis,Belkis,209395207.0,https://www.airbnb.com/rooms/27920433,https://www.airbnb.com/users/show/209395207,40.0,Missing,?,,"5 minute walk away from the closest train station that has routes all over Boston. This warm neighborhood is in close proximity to many activities to do here while you stay in Boston. You can visit a Sam Adams Brewery just 5 minute walk from the property, or visit local cultural restaurants.","Cozy private bedrooms located right in the City of Boston. 5 minute walk away from the closest train station that has routes all over Boston. This warm neighborhood is in close proximity to many activities to do here while you stay in Boston. The apartment has private rooms with locks only you have access to, shared kitchen, shared bathroom, and shared WIFI.<br /><br /><b>Guest access</b><br />shared Kitchen<br />shared bath<br />shared wifi",2020-09-01
855,27921597,Boston private room (1-4),16-1,CorpGroup28,Belkis,Belkis,209395207.0,https://www.airbnb.com/rooms/27921597,https://www.airbnb.com/users/show/209395207,29.0,Missing,?,,"5 minute walk away from the closest train station that has routes all over Boston. This warm neighborhood is in close proximity to many activities to do here while you stay in Boston. You can visit a Sam Adams Brewery just 5 minute walk from the property, or visit local cultural restaurants.","Warm neighborhood, close proximity to local transit. Private room, shared kitchen, shared bath. Guests will be sharing common areas with other tenants on a month to month lease (not on air bnb) Cleaning will be done occasionally but we can not control how frequent other tenants clean up their own mess in common areas.<br /><br /><b>The space</b><br />shared Kitchen<br />shared bath<br />shared wifi<br /><br /><b>Guest access</b><br />shared Kitchen<br />shared bath<br />shared wifi",2020-09-01
856,27922387,Boston private room (1-2),16-1,CorpGroup28,Belkis,Belkis,209395207.0,https://www.airbnb.com/rooms/27922387,https://www.airbnb.com/users/show/209395207,29.0,Missing,?,,"5 minute walk away from the closest train station that has routes all over Boston. This warm neighborhood is in close proximity to many activities to do here while you stay in Boston. You can visit a Sam Adams Brewery just 5 minute walk from the property, or visit local cultural restaurants.","Warm neighborhood, in close proximity to local transit connecting to the whole city.<br /><br /><b>Guest access</b><br />shared Kitchen<br />shared bath<br />shared wifi",2020-09-01
1200,36439921,Boston Private Room (3-5) floor 3 room #5,16-1,CorpGroup28,Belkis,Belkis,209395207.0,https://www.airbnb.com/rooms/36439921,https://www.airbnb.com/users/show/209395207,29.0,Missing,?,,,,2020-09-01
1269,37931130,Boston private room (2-5) Floor 2 - Room #5,16-1,CorpGroup28,Belkis,Belkis,209395207.0,https://www.airbnb.com/rooms/37931130,https://www.airbnb.com/users/show/209395207,29.0,Missing,?,,,"Warm neighborhood, close proximity to local transit. Private room, shared kitchen, shared bath. Guests will be sharing common areas with other tenants on a month to month lease (not on air bnb).  <br />Located on the 2nd floor.",2020-09-01
1539,41377724,Boston Private Room (2-2) Floor 2 Room #2,16-1,CorpGroup28,Belkis,Belkis,209395207.0,https://www.airbnb.com/rooms/41377724,https://www.airbnb.com/users/show/209395207,29.0,Missing,?,,,Nice and safe neighborhood. Minutes walk to Orange Line Stony Brook Train Station.  20 minutes train ride to Downtown Boston.,2020-09-01
1541,41405209,Boston Private Room (2-3) Floor 2 - Room #3,16-1,CorpGroup28,Belkis,Belkis,209395207.0,https://www.airbnb.com/rooms/41405209,https://www.airbnb.com/users/show/209395207,29.0,Missing,?,,,"Safe neighborhood, 5 minutes walk to Orange Line Train Station.  20 minutes train ride to Downtown Boston.",2020-09-01
1542,41405419,Boston Private Room (2-4) Floor 2 - Room #4,16-1,CorpGroup28,Belkis,Belkis,209395207.0,https://www.airbnb.com/rooms/41405419,https://www.airbnb.com/users/show/209395207,29.0,Missing,?,,,"Safe neighborhood, 5 minutes walk to Orange Line Train Station.  5 minutes train ride to Downtown Boston.",2020-09-01
1543,41405550,Boston Private Room (2-1) Floor 2 - Room #1,16-1,CorpGroup28,Belkis,Belkis,209395207.0,https://www.airbnb.com/rooms/41405550,https://www.airbnb.com/users/show/209395207,29.0,Missing,?,,,"Safe neighborhood, 5 minutes walk to Orange Line Train Station.",2020-09-01
